id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
799800,"LONG-TERM, FEMALES, CLEAN, COZY-AIRPORT P/U POSS.",1786233,Mina,Toronto,Thistletown-Beaumond Heights,43.73732,-79.5744,Private room,25,28,22,01-10-2017,0.16,1,314
818228,Private Room in Downtown Toronto RM2,4297691,Graeme,Toronto,Dovercourt-Wallace Emerson-Junction,43.65851,-79.4431,Private room,83,1,582,01-06-2024,4.41,2,324
820177,Little Italy 1 Bedroom Apt - Excellent Location!,149566,Vinita + Joe,Toronto,Palmerston-Little Italy,43.65555,-79.42017,Entire home/apt,145,28,39,06-06-2023,0.28,1,345
822085,Beautiful Deluxe Toronto Home,4316883,Scott,Toronto,Rosedale-Moore Park,43.689,-79.37799,Entire home/apt,1018,28,8,21-08-2021,0.07,1,363
849500,Central Downtown room with views,4435131,Olivia,Toronto,Moss Park,43.65114,-79.36766,Private room,87,28,136,31-08-2023,0.99,1,365
855991,HOTEL ALTERNATIVE accommodation,4477219,Vas,Toronto,Church-Yonge Corridor,43.65474,-79.37779,Entire home/apt,196,28,13,15-11-2022,0.11,4,0
883109,Welcome to Toronto-Danforth!,4517569,Laurie,Toronto,Playter Estates-Danforth,43.68219,-79.35405,Entire home/apt,400,4,9,05-09-2023,0.07,1,34
892352,Panoramic Views in Huge and Bright Loft w/ Parking,4448135,Hyung Min,Toronto,Waterfront Communities-The Island,43.6473577,-79.398158,Entire home/apt,522,4,316,27-05-2024,2.42,1,143
908807,Great Danforth apt - parking & view,4871479,Jodi,Toronto,Playter Estates-Danforth,43.67705,-79.36135,Entire home/apt,350,28,67,27-09-2019,0.49,1,30
921532,A Tiny Hotel - The Malibu Room,512812908,Louise,Toronto,Greenwood-Coxwell,43.67698,-79.32201,Private room,62,1,136,01-06-2024,3.89,1,141
923427,Big Room in a Great Neighbourhood,4966594,Mark,Toronto,Palmerston-Little Italy,43.65798572,-79.41014035,Private room,101,5,44,23-05-2024,0.32,2,83
950053,PAN AM PENTHOUSE WITH SKYLINE VIEWS,5153529,Adrian,Toronto,Regent Park,43.65794,-79.35755,Entire home/apt,160,365,9,14-02-2016,0.07,2,192
954935,Furnished 1 Bedroom Appartment,5186386,Kc,Scarborough,South Riverdale,43.66451,-79.33498,Entire home/apt,80,30,34,27-04-2024,0.25,1,180
955073,YONGE - DUNDAS Fully Furnished,4477219,Vas,Scarborough,Church-Yonge Corridor,43.655,-79.3796,Entire home/apt,60,28,11,30-06-2020,0.14,4,0
959676,Casa Palma Azul,5214021,Michael,York,Church-Yonge Corridor,43.66498,-79.37963,Entire home/apt,91,28,33,04-05-2024,0.25,1,361
985003,1 Bedroom Basement Apartment in Leslieville,2396097,Jean-Francois,Toronto,South Riverdale,43.66517,-79.34037,Private room,99,28,115,07-12-2023,0.86,1,365
985648,Private room in Brockton Village.,5242437,Kristin,Toronto,Little Portugal,43.65128,-79.43596,Private room,74,2,19,08-05-2024,0.14,1,352
990322,"Fantastic private gem, just like a home.",377962,Coreen,Toronto,Humewood-Cedarvale,43.68363,-79.42522,Entire home/apt,115,28,35,01-04-2024,0.29,7,259
